,vertex_degree,vertex_distance,centre,centroid,vertex_distance_std,class
42,0,3.375,0,0,1.79843682124227,0
43,0,4.125,0,0,2.0879116360612584,0
44,1,3.25,0,0,1.8874586088176875,0
45,5,2.5,0,0,1.620185174601965,1
46,0,3.4516129032258065,0,0,1.2138637240146308,0
47,0,3.806451612903226,0,0,1.4683621518375538,0
48,0,3.806451612903226,0,0,1.4683621518375538,0
49,3,2.870967741935484,0,0,1.3378349260211435,0
50,0,4.354838709677419,0,0,1.8930839678866076,0
51,0,4.354838709677419,0,0,1.8930839678866076,0
52,0,4.354838709677419,0,0,1.8930839678866076,0
53,4,3.4193548387096775,0,0,1.7739002690151635,0
54,0,5.161290322580645,0,0,2.171617119962172,0
55,2,4.225806451612903,0,0,2.0432371125307247,0
56,0,5.161290322580645,0,0,2.171617119962172,0
57,0,4.258064516129032,0,0,1.5019931260416537,0
58,0,4.258064516129032,0,0,1.5019931260416537,0
59,2,3.3225806451612905,0,0,1.3533017395743892,0
60,4,2.5161290322580645,1,0,1.0737623856189185,1
61,0,3.4193548387096775,0,0,1.362497553673734,0
62,0,4.290322580645161,0,0,1.569745169109218,0
63,1,3.3548387096774195,0,0,1.4266673798384502,0
64,0,3.4193548387096775,0,0,1.362497553673734,0
65,0,3.4193548387096775,0,0,1.362497553673734,0
66,6,2.4838709677419355,0,1,1.2409925201078287,0
