,,,accuracy,precision,recall,fscore
Hindi-all,balanced,KNN 9,0.9870065308509602,0.9759156144127955,0.9986523519106039,0.9871522646476281
Hindi-all,balanced,MOST FREQUEST CLASS,0.4964811385125256,0.24850375280241738,0.5,0.33199933015469774
Hindi-all,balanced,RANDOM CLASS,0.5005458621698022,0.5009793023240021,0.5014308667896817,0.5011888195561356
Icelandic-all,no_balanced,LOGISTIC REGRESION,0.9818699572852397,0.8300417936698015,0.8749841555880427,0.8494009923185709
Icelandic-all,no_balanced,DECISION TREE,0.9819411485524443,0.8509838398515253,0.8442959909507772,0.8444001408226421
Icelandic-all,no_balanced,KNN 3,0.9854057902230661,0.8507828229885355,0.9198623000720534,0.8829629830193367
Icelandic-all,no_balanced,KNN 5,0.9864973896535358,0.8600540591248306,0.925006184977522,0.8902125141914203
Icelandic-all,no_balanced,KNN 7,0.9858803986710963,0.842128699639004,0.9272177072941016,0.8818587706553911
Icelandic-all,no_balanced,KNN 9,0.9857617465590887,0.8503573527678372,0.9219851401292678,0.8841087957563504
Icelandic-all,no_balanced,MOST FREQUEST CLASS,0.9406027527289986,0.0,0.0,0.0
Icelandic-all,no_balanced,RANDOM CLASS,0.5,0.05722172554696653,0.49519631510305634,0.10255586331536046
Icelandic-all,balanced,LOGISTIC REGRESION,0.9669104665825976,0.9619447346257957,0.9731256327189083,0.9672676427473693
Icelandic-all,balanced,DECISION TREE,0.954766708701135,0.988951536380771,0.9196955900643491,0.9529647164046479
Icelandic-all,balanced,KNN 3,0.9806809583858763,0.9814426168346367,0.9798768528044869,0.9806143600262729
Icelandic-all,balanced,KNN 5,0.9826103404791929,0.9734845420777442,0.9922625776584268,0.9827809680745598
Icelandic-all,balanced,KNN 7,0.9863682219419925,0.9759113079863605,0.9974966473744213,0.9865798417344809
Icelandic-all,balanced,KNN 9,0.9854476670870114,0.9725460376269472,0.9991675863349959,0.9856660878399992
Icelandic-all,balanced,MOST FREQUEST CLASS,0.4970744010088272,0.24862547288776798,0.5,0.3321083563549847
Icelandic-all,balanced,RANDOM CLASS,0.49997477931904155,0.4994540564406006,0.49896695557391724,0.4991847588411756
Indonesian-all,no_balanced,LOGISTIC REGRESION,0.9768661890455281,0.8307049136268804,0.7604389886868512,0.793356289188752
Indonesian-all,no_balanced,DECISION TREE,0.9764964178414607,0.7913166011494155,0.8104880931451582,0.798936287605249
Indonesian-all,no_balanced,KNN 3,0.980887450889762,0.8084591124015409,0.882568269290416,0.8424984262257098
Indonesian-all,no_balanced,KNN 5,0.982482089207303,0.8339296594704697,0.8659278360187923,0.8488865747861839
Indonesian-all,no_balanced,KNN 7,0.9816963253986597,0.8381744332352838,0.851400860156333,0.843743086183166
Indonesian-all,no_balanced,KNN 9,0.981303443494338,0.8146293096262103,0.8824747801694685,0.8464351002952158
Indonesian-all,no_balanced,MOST FREQUEST CLASS,0.9418996995608966,0.0,0.0,0.0
Indonesian-all,no_balanced,RANDOM CLASS,0.500531546105847,0.05873804046950265,0.5032085592637845,0.10518531222105795
Indonesian-all,balanced,LOGISTIC REGRESION,0.9607037763609612,0.9560841607673719,0.9659485862702267,0.9609588188708384
Indonesian-all,balanced,DECISION TREE,0.9518146150073564,0.9891211711557283,0.9141971227367668,0.9483438279760563
Indonesian-all,balanced,KNN 3,0.9833619421284944,0.9817206724639249,0.9851566610116219,0.9833582284972732
Indonesian-all,balanced,KNN 5,0.9875183913683179,0.9758221734371182,0.9998277982779828,0.9876772029285291
Indonesian-all,balanced,KNN 7,0.986844041196665,0.9744077959564651,1.0,0.9870375804824196
Indonesian-all,balanced,KNN 9,0.9845635115252576,0.9700596932799483,1.0,0.9848012791770169
Indonesian-all,balanced,MOST FREQUEST CLASS,0.49406571848945563,0.3463094654242276,0.7,0.4633731432539374
Indonesian-all,balanced,RANDOM CLASS,0.5009931338891614,0.5028311225163258,0.4968666367452772,0.4998127842215978
Italian-all,no_balanced,LOGISTIC REGRESION,0.9822683109118087,0.8072302321105775,0.8542780703945919,0.8236197205323641
Italian-all,no_balanced,DECISION TREE,0.9781950672645741,0.8296654856873007,0.6732086989701533,0.7221022395108927
Italian-all,no_balanced,KNN 3,0.9849962630792227,0.8086638144697961,0.9112194468962915,0.8536989607887134
Italian-all,no_balanced,KNN 5,0.9852391629297459,0.8207457835963241,0.8866955735948263,0.849949999835071
Italian-all,no_balanced,KNN 7,0.9851083707025412,0.7966325735440123,0.9188950698491307,0.8518172964213188
Italian-all,no_balanced,KNN 9,0.9841367713004484,0.7894647754131902,0.8983638327401031,0.8386160893454055
Italian-all,no_balanced,MOST FREQUEST CLASS,0.9534566517189835,0.0,0.0,0.0
Italian-all,no_balanced,RANDOM CLASS,0.5039424514200299,0.04567838413684142,0.49686778351289335,0.08365424860181499
Italian-all,balanced,LOGISTIC REGRESION,0.9653767022631528,0.9549785438396908,0.9774145008980415,0.9659830658424987
Italian-all,balanced,DECISION TREE,0.9406191829136867,0.9916007934625369,0.8894447691920166,0.9369516550029753
Italian-all,balanced,KNN 3,0.9892916625845007,0.9857639847883053,0.9929280194212898,0.989310125913398
Italian-all,balanced,KNN 5,0.9900166552366025,0.9812848330309318,0.9990980709949489,0.990108199291835
Italian-all,balanced,KNN 7,0.9869109434701675,0.9755839204641271,0.9987612488720756,0.9870321372022246
Italian-all,balanced,KNN 9,0.986656216322132,0.9745916220895653,0.999314399501819,0.9867926344651439
Italian-all,balanced,MOST FREQUEST CLASS,0.49699226021357895,0.29807974919173114,0.6,0.3982881140204205
Italian-all,balanced,RANDOM CLASS,0.5014597825022044,0.5014385130866355,0.5021849531457959,0.5017848746097555
Japanese-all,no_balanced,LOGISTIC REGRESION,0.9905214007782102,0.8692351825380056,0.8965828009814606,0.8799656854711714
Japanese-all,no_balanced,DECISION TREE,0.9870661478599223,0.8721945469366151,0.7884808636163789,0.8248738450615736
Japanese-all,no_balanced,KNN 3,0.9918443579766537,0.8746471039627515,0.9256351440583064,0.8988683979592718
Japanese-all,no_balanced,KNN 5,0.9921089494163425,0.884458461609207,0.9232597554244792,0.9025393596146177
Japanese-all,no_balanced,KNN 7,0.9919844357976653,0.8916910026358662,0.9093539283820835,0.8996345913676406
Japanese-all,no_balanced,KNN 9,0.992295719844358,0.8931061700857544,0.9113567727231402,0.901473149311802
Japanese-all,no_balanced,MOST FREQUEST CLASS,0.9612918287937744,0.0,0.0,0.0
Japanese-all,no_balanced,RANDOM CLASS,0.4997198443579767,0.0411713351377433,0.5124639225241722,0.07620149574255727
Japanese-all,balanced,LOGISTIC REGRESION,0.9809342616580311,0.9814452388646545,0.980192838593708,0.9807995565627016
Japanese-all,balanced,DECISION TREE,0.9078934585492228,0.9957584550283072,0.819415782848923,0.8987706706413384
Japanese-all,balanced,KNN 3,0.99328853626943,0.9923716597909611,0.9942227288165807,0.9932953326352372
Japanese-all,balanced,KNN 5,0.9940819300518134,0.9906990864499712,0.9975288357885491,0.9941003788147675
Japanese-all,balanced,KNN 7,0.9941952720207254,0.9891996040350411,0.9993185639646389,0.9942325342795029
Japanese-all,balanced,KNN 9,0.9939766839378239,0.9882356017430858,0.9998690027836907,0.994017310925229
Japanese-all,balanced,MOST FREQUEST CLASS,0.4966321243523316,0.2979517487046632,0.6,0.3981705341218791
Japanese-all,balanced,RANDOM CLASS,0.5017972797927461,0.5025050304375764,0.5005127394651456,0.5014886928537965
Korean-all,no_balanced,LOGISTIC REGRESION,0.962820512820513,0.7002722306631177,0.778591821381013,0.734358748876798
Korean-all,no_balanced,DECISION TREE,0.951388888888889,0.7012227046998089,0.5088592962857733,0.5715359292600075
Korean-all,no_balanced,KNN 3,0.9642628205128206,0.7444119217551889,0.7285997448912614,0.7340251069353395
Korean-all,no_balanced,KNN 5,0.9643963675213676,0.729889586394437,0.7802098408104794,0.7480314288573282
Korean-all,no_balanced,KNN 7,0.9700320512820513,0.7670552122835979,0.7781674762152568,0.7708292483235033
Korean-all,no_balanced,KNN 9,0.966025641025641,0.721704057812352,0.8031183512622189,0.7587259166517719
Korean-all,no_balanced,MOST FREQUEST CLASS,0.9337339743589744,0.0,0.0,0.0
Korean-all,no_balanced,RANDOM CLASS,0.4976228632478633,0.06855127549086248,0.5098877296350705,0.12081613248821302
Korean-all,balanced,LOGISTIC REGRESION,0.936142509658034,0.9262354382396024,0.9474765518376248,0.9367187170192833
Korean-all,balanced,DECISION TREE,0.8779653741593932,0.9723468713390828,0.7774793360520623,0.8637184616953386
Korean-all,balanced,KNN 3,0.9551724137931036,0.9617451334011209,0.9482334213404242,0.954696836905087
