n	second_moment_degree	second_moment_degree_out	third_moment_degree	third_moment_degree_out	sum_squared_degrees	sum_squared_out_degrees	sum_cubed_degrees	sum_cubed_out_degrees	num_pairs_independent_edges	head_initial	hubiness	sum_hierarchical_distance	mean_hierarchical_distance	tree_centre1	tree_centre2	tree_centroid1	tree_centroid2	tree_diameter	caterpillar_distance	num_crossings	predicted_num_crossings	exp_num_crossings	var_num_crossings	z_score_num_crossings	sum_edge_lengths	exp_sum_edge_lengths	exp_sum_edge_lengths_projective	exp_sum_edge_lengths_planar	var_sum_edge_lengths	z_score_sum_edge_lengths	min_sum_edge_lengths	min_sum_edge_lengths_planar	min_sum_edge_lengths_projective	max_sum_edge_lengths_planar	max_sum_edge_lengths_projective	mean_dependency_distance	flux_max_weight	flux_mean_weight	flux_min_weight	flux_max_left_span	flux_mean_left_span	flux_min_left_span	flux_max_right_span	flux_mean_right_span	flux_min_right_span	flux_max_size	flux_mean_size	flux_min_size	flux_max_RL_ratio	flux_mean_RL_ratio	flux_min_RL_ratio	flux_max_WS_ratio	flux_mean_WS_ratio	flux_min_WS_ratio	empty	singleton	bistar	caterpillar	linear	quasistar	spider	two_linear	star	unknown	EC1	planar	projective	WG1	unknown_syntactic_dependency_structure
17	4.94118	2.58824	16	8	84	44	272	136	94	0.375	0.104762	43	2.6875	7	10	10	18	7	1	0	3.50715	31.3333	79.6889	-3.51	29	96	58.1667	62.1569	211.6	-4.60593	25	25	25	134	112	1.8125	2	1.0625	1	3	1.625	1	2	1.1875	1	3	1.8125	1	2	0.885417	0.333333	1	0.677083	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
7	6	5.14286	31.7143	30.8571	42	36	222	216	0	0.166667	1	6	1	5	8	5	8	2	0	0	0	0	0	-nan	16	16	16	16	12	0	12	12	12	21	21	2.66667	1	1	1	5	2.66667	1	1	1	1	5	2.66667	1	1	0.547222	0.2	1	0.547222	0.2	0	0	0	1	0	0	1	0	1	0	1	1	1	1	0
8	3.75	1.875	9.25	4.625	30	15	74	37	13	0.428571	0.133333	12	1.71429	2	5	2	5	5	0	0	0	4.33333	5.42222	-1.86094	10	21	15.1667	16.9583	15.8	-2.76735	9	9	9	28	24	1.42857	1	1	1	2	1.28571	1	2	1.14286	1	2	1.42857	1	2	1	0.5	1	0.785714	0.5	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0
12	4.5	2.41667	13.3333	7.41667	54	29	160	89	39	0.0909091	0.133333	21	1.90909	6	13	6	13	6	0	0	3.53718	13	24.0111	-2.653	24	47.6667	30	34.5556	66.1556	-2.90974	16	16	16	66	51	2.18182	2	1.27273	1	4	2.18182	1	2	1.27273	1	4	2.18182	1	1	0.666667	0.333333	1	0.666667	0.333333	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
17	5.05882	2.58824	17.4118	8	86	44	296	136	93	0.3125	0.114286	46	2.875	5	8	8	18	7	2	0	4.83893	31	79.3667	-3.47971	33	96	55.6667	61.3725	214.2	-4.30458	27	27	27	126	102	2.0625	2	1.25	1	3	1.875	1	2	1.3125	1	4	2.0625	1	2	0.8125	0.333333	1	0.6875	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
9	5.55556	4.22222	26.4444	24.2222	50	38	238	218	11	0.125	0.47619	10	1.25	6	10	6	10	4	0	0	0	3.66667	5.18889	-1.60966	20	26.6667	22.3333	23.2593	28.1111	-1.25739	14	14	14	36	34	2.5	2	1.125	1	5	2.5	1	2	1.125	1	5	2.5	1	1	0.597917	0.2	1	0.597917	0.2	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0
17	6.11765	4.11765	29.7647	23.5294	104	70	506	400	84	0.3125	0.2	29	1.8125	4	18	4	18	6	1	0	6.33943	28	74.7	-3.23965	45	96	59.1667	65.9216	237.6	-3.30862	30	30	30	131	106	2.8125	2	1.3125	1	5	2.3125	1	3	1.75	1	6	2.8125	1	3	0.954167	0.25	1	0.551042	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
34	5.82353	3.32353	24	15.0882	198	113	816	513	462	0.333333	0.0685484	99	3	20	24	20	35	11	5	0	15.6573	154	753.311	-5.61091	108	385	165.333	194.863	2002	-6.19081	61	61	61	511	339	3.27273	3	1.69697	1	6	2.84848	1	4	1.84848	1	7	3.27273	1	2	0.753535	0.2	1	0.59026	0.2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
27	5.48148	3.03704	21.037	12.7407	148	82	568	344	277	0.384615	0.0766667	77	2.96154	10	19	10	28	9	7	0	10.7428	92.3333	367.056	-4.8194	65	242.667	114.167	126.346	950.133	-5.76386	49	49	49	293	225	2.5	2	1.38462	1	5	2.23077	1	3	1.57692	1	5	2.5	1	3	0.908333	0.2	1	0.639103	0.2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
29	5.72414	3.03448	22.8276	11.1034	166	88	662	322	323	0.464286	0.0797721	101	3.60714	14	17	14	30	9	4	0	8.77519	107.667	450.278	-5.07389	61	280	147.167	150.276	1214.33	-6.28456	52	52	52	360	312	2.17857	2	1.21429	1	4	1.78571	1	3	1.42857	1	4	2.17857	1	3	0.973214	0.25	1	0.633929	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
14	5.28571	2.78571	21.5714	10.7857	74	39	302	151	54	0.307692	0.181818	32	2.46154	9	15	9	15	6	1	0	1.78086	18	37.5778	-2.93634	34	65	43.5	45.7857	118	-2.85378	22	22	24	87	79	2.61538	2	1.23077	1	5	2.46154	1	2	1.23077	1	5	2.61538	1	1	0.624359	0.2	1	0.603846	0.2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
27	5.33333	2.59259	18.5926	7.62963	144	70	502	206	279	0.384615	0.07	93	3.57692	13	16	13	28	11	1	0	9.58846	93	370.044	-4.83455	57	242.667	108.833	137.901	935.822	-6.06928	42	42	42	346	210	2.19231	2	1.34615	1	4	2	1	2	1.42308	1	4	2.19231	1	2	0.842949	0.25	1	0.695513	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
20	5.8	3.15	26.2	13.85	116	63	524	277	132	0.315789	0.137255	55	2.89474	4	14	14	21	7	2	0	5.89586	44	134.922	-3.78801	61	133	76	83.8	385	-3.66946	35	35	37	180	145	3.21053	2	1.31579	1	6	3.05263	1	3	1.36842	1	6	3.21053	1	1	0.575439	0.166667	1	0.542982	0.166667	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
30	5.46667	2.9	20.1333	10.5667	164	87	604	317	353	0.413793	0.0661376	86	2.96552	2	23	11	31	11	6	0	9.4789	117.667	508.989	-5.21554	80	299.667	123.833	151.589	1313.71	-6.06058	53	53	53	369	240	2.75862	3	1.65517	1	5	2.24138	1	3	1.96552	1	6	2.75862	1	3	1.00517	0.333333	1	0.691379	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
14	4.85714	2.78571	16.4286	10.7857	68	39	230	151	57	0.384615	0.136364	23	1.76923	0	5	5	15	5	3	0	3.11235	19	39.9	-3.00793	33	65	37.3333	43.7143	113	-3.01031	23	23	23	79	59	2.53846	2	1.38462	1	3	1.69231	1	3	1.84615	1	5	2.53846	1	3	1.24359	0.5	1	0.620513	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
22	5.36364	2.86364	19.0909	9.40909	118	63	420	207	172	0.238095	0.0947368	51	2.42857	2	16	16	23	7	4	0	9.96847	57.3333	184.411	-4.22196	63	161	77.6667	93.1212	496.8	-4.39679	38	38	38	211	146	3	2	1.47619	1	5	2.71429	1	2	1.52381	1	6	3	1	2	0.677778	0.25	1	0.566667	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
